ticker,n_total,abs_v2_250,rel_v2_250,abs_v2_500,rel_v2_500,abs_v2_1000,rel_v2_1000,abs_v2_2000,rel_v2_2000,abs_v2_full,rel_v2_full,abs_roll252,rel_roll252,abs_roll504,rel_roll504,abs_clipy,rel_clipy,abs_lgbm,rel_lgbm
FPT,2872,0.021344844976155488,-0.00551288274345052,0.0183483603193792,0.009216622838433053,0.02157820813512591,-0.004843432958655525,0.020553626731717366,0.005039922456675727,0.02010267541469929,0.0031536168275192455,0.02012231656506182,0.0021796564318835587,0.020111330951532926,0.002724408256568722,0.020097112359866894,0.0034294761832849296,0.02014751522881961,0.0009301114678652578
VNM,2872,0.013963302212164854,-0.0260342859097189,0.015616226677134753,-0.006088309498248012,0.018309409850419935,-0.006205991625847451,0.018367264271071795,0.001321333049867146,0.01833394804256721,-0.00032287550122078734,0.018342320597187815,-0.0007796924341547662,0.018374336347079644,-0.0025265113363772684,0.018338757109173057,-0.0005852641217443111,0.01832773758774376,1.597459330004991e-05
HPG,2872,0.01730858006769863,0.0009267793271959812,0.021795354329655618,0.0006408143400142841,0.029930003553575956,-0.0064984805630565745,0.02814568940500025,0.0039059305139278466,0.027478661142808086,0.0035311647308977623,0.027713219871911943,-0.004974725071287711,0.027659011785699364,-0.003008957225114628,0.027454347169881245,0.004412871308858812,0.02751132311647441,0.0023467315196971095
MWG,2620,0.023058452924775364,0.012412579000548152,0.027404641513073882,-0.003342117593899907,0.02921364545688796,0.00011056626992989038,0.02717906724353604,0.0036982401119636243,0.02822178652534527,-0.0026930159896536576,0.028186531811356504,-0.0014404498041111768,0.028373114597625593,-0.008069557303308272,0.028235777709402984,-0.00319010934437447,0.028199162155156395,-0.0018891938092551186
VCB,2872,0.013362983363191545,-0.00033826950255244626,0.015901706565190948,-0.013377227271470726,0.020152874936186928,-0.00537121350185199,0.02196773483123273,0.0034117559518848095,0.023009380679883104,-0.004610981030008343,0.022955977146407396,-0.0022793330425243674,0.022931186317384198,-0.0011969423683888536,0.023025956596773284,-0.005334700992757124,0.022933506641365307,-0.0012982498735059078
TCB,1649,0.020596212301954978,-0.0038292439224647534,0.021659284790427936,0.008660395548329536,0.027177368412246043,0.0022363812146027895,0.025973095625472342,-0.002028992123112916,0.025973095625472342,-0.002028992123112916,0.02628911216594308,-0.014220751631039086,0.02596089629978817,-0.0015583482616279287,0.025995637532433433,-0.002898647578837732,0.025832314264146512,0.0034022821321088026
VIC,2872,0.014984074161540675,0.009436693033099353,0.018783121190929238,-0.004683856751983351,0.02138250688488462,3.447840185077933e-05,0.0209309980084436,0.005962880913103374,0.021123598875101655,0.0030172157029092483,0.02116912467016454,0.000868508269696644,0.021133039062199425,0.002571661700834671,0.021151101613657314,0.0017191529521847215,0.021186175574113546,6.374683702703443e-05
MSN,2872,0.02088978060938799,-0.0076856405315908205,0.025571853712561002,0.0005226267887853409,0.03060735652712118,0.010416665972462047,0.028989009645371353,-0.008093465756613183,0.0268164570443305,0.007887840161487802,0.02698922606779318,0.0014960096248364252,0.02690854920177409,0.004480762594361254,0.026802742761241047,0.008395219156185685,0.026918186712483375,0.004124209469187123
ACB,2872,0.014311167836991375,-0.0008571861971762296,0.015653479516657867,0.010382771553023029,0.02172235769273484,0.01180394579341626,0.02344873735152637,0.0075366032544861294,0.02110595382916322,0.005464022671604285,0.021111490284517594,0.00520313874845324,0.021123746835053636,0.004625596479352123,0.0211168805118216,0.004949145253385301,0.021194426832868873,0.0012950765097871075
GAS,2872,0.012676632710098027,-0.019456808705375916,0.014949168961018451,0.008252136172735125,0.023813117415198815,0.00899346159172354,0.026784603470611935,0.001062636925198257,0.0269791611767081,-0.0011087744316311543,0.02688109685792465,0.002530072949492257,0.027004016912690318,-0.002031089815114573,0.027002692520492772,-0.0019819459354708524,0.026954538464947973,-0.0001951058178477627
VHM,2872,0.019500655668816896,0.00042108068713098135,0.024637177606679793,-0.012830129502985121,0.025634202686030078,-0.005441518641567278,0.021081649787946702,-0.004682032606242226,0.015440033453205297,-0.030265755122339977,0.015652793026927292,-0.04446254449747533,0.015713671692527423,-0.04852478986601372,0.015218056468742198,-0.015453916390852251,0.015044948062763198,-0.0039029270005439543
SSI,2872,0.020228282067423498,-0.009268731243744943,0.027704935492383093,-0.004436621554621212,0.04015315239258359,-0.0020265196816944275,0.03343393200151612,0.00028387829597964487,0.030453266510897328,0.0013468602227196813,0.030428722804624213,0.002151721314473054,0.030464836916236554,0.0009674322353679932,0.030426678367472162,0.002218764486352276,0.030333256337983384,0.005282350556501725
VRE,1790,0.024518229813251732,0.004949739383640517,0.025636578543821835,-0.013711025807226607,0.02993066758350613,-0.0006152129201391077,0.030926568208327232,-0.011504271227395169,0.030926568208327232,-0.011504271227395169,0.03070001556969411,-0.004094494620705991,0.03099675978144676,-0.01380000205456966,0.030896098003823036,-0.010507693081590164,0.03069379448358465,-0.0038910237690745753
POW,1701,0.022773327968090125,0.003397722371959233,0.022037803209063463,-0.0017646736358551962,0.03175973859016767,0.00372141530368586,0.030112352521813095,-0.0008953641759827935,0.030112352521813095,-0.0008953641759827935,0.030231531135643176,-0.004856706020829993,0.030159517750497744,-0.0024630749254690443,0.030059215274155136,0.0008708487031802159,0.030057475600921084,0.0009286731748444632
PNJ,2872,0.015533844473753208,0.02367702005880934,0.01630008480230598,0.0016546817231353206,0.023267564505148462,0.022256177027337842,0.024859808813856302,0.0026427100641286394,0.024291267454555773,-0.005698544549314066,0.02405567619109915,0.004055322399379224,0.02420211876546068,-0.0020076417572245653,0.02429949480390502,-0.006039170384566139,0.024137587012193002,0.0006640792824426089
